,0,1,2
110,n01924916,flatworm,bug
111,n01930112,nematode,bug
112,n01943899,conch,mollusk
113,n01944390,snail,mollusk
114,n01945685,slug,mollusk
115,n01950731,sea_slug,mollusk
116,n01955084,chiton,mollusk
117,n01968897,chambered_nautilus,mollusk
118,n01978287,Dungeness_crab,crustacean
119,n01978455,rock_crab,crustacean
120,n01980166,fiddler_crab,crustacean
121,n01981276,king_crab,crustacean
122,n01983481,American_lobster,crustacean
123,n01984695,spiny_lobster,crustacean
124,n01985128,crayfish,crustacean
125,n01986214,hermit_crab,crustacean
126,n01990800,isopod,crustacean
127,n02002556,white_stork,bird
128,n02002724,black_stork,bird
129,n02006656,spoonbill,bird
130,n02007558,flamingo,bird
131,n02009229,little_blue_heron,bird
132,n02009912,American_egret,bird
133,n02011460,bittern,bird
134,n02012849,crane,vehicle
135,n02013706,limpkin,bird
136,n02017213,European_gallinule,bird
137,n02018207,American_coot,bird
138,n02018795,bustard,bird
139,n02025239,ruddy_turnstone,bird
140,n02027492,red-backed_sandpiper,bird
141,n02028035,redshank,bird
142,n02033041,dowitcher,bird
143,n02037110,oystercatcher,bird
144,n02051845,pelican,bird
145,n02056570,king_penguin,bird
146,n02058221,albatross,bird
147,n02066245,grey_whale,marine mammals
148,n02071294,killer_whale,marine mammals
149,n02074367,dugong,marine mammals
150,n02077923,sea_lion,marine mammals
151,n02085620,Chihuahua,dog
152,n02085782,Japanese_spaniel,dog
153,n02085936,Maltese_dog,dog
154,n02086079,Pekinese,dog
155,n02086240,Shih-Tzu,dog
156,n02086646,Blenheim_spaniel,dog
157,n02086910,papillon,dog
158,n02087046,toy_terrier,dog
159,n02087394,Rhodesian_ridgeback,dog
160,n02088094,Afghan_hound,dog
161,n02088238,basset,dog
162,n02088364,beagle,dog
163,n02088466,bloodhound,dog
164,n02088632,bluetick,dog
165,n02089078,black-and-tan_coonhound,dog
166,n02089867,Walker_hound,dog
167,n02089973,English_foxhound,dog
168,n02090379,redbone,dog
169,n02090622,borzoi,dog
170,n02090721,Irish_wolfhound,dog
171,n02091032,Italian_greyhound,dog
172,n02091134,whippet,dog
173,n02091244,Ibizan_hound,dog
174,n02091467,Norwegian_elkhound,dog
175,n02091635,otterhound,dog
176,n02091831,Saluki,dog
177,n02092002,Scottish_deerhound,dog
178,n02092339,Weimaraner,dog
179,n02093256,Staffordshire_bullterrier,dog
180,n02093428,American_Staffordshire_terrier,dog
181,n02093647,Bedlington_terrier,dog
182,n02093754,Border_terrier,dog
183,n02093859,Kerry_blue_terrier,dog
184,n02093991,Irish_terrier,dog
185,n02094114,Norfolk_terrier,dog
186,n02094258,Norwich_terrier,dog
187,n02094433,Yorkshire_terrier,dog
188,n02095314,wire-haired_fox_terrier,dog
189,n02095570,Lakeland_terrier,dog
190,n02095889,Sealyham_terrier,dog
191,n02096051,Airedale,dog
192,n02096177,cairn,dog
193,n02096294,Australian_terrier,dog
194,n02096437,Dandie_Dinmont,dog
195,n02096585,Boston_bull,dog
196,n02097047,miniature_schnauzer,dog
197,n02097130,giant_schnauzer,dog
198,n02097209,standard_schnauzer,dog
199,n02097298,Scotch_terrier,dog
200,n02097474,Tibetan_terrier,dog
201,n02097658,silky_terrier,dog
202,n02098105,soft-coated_wheaten_terrier,dog
203,n02098286,West_Highland_white_terrier,dog
204,n02098413,Lhasa,dog
205,n02099267,flat-coated_retriever,dog
206,n02099429,curly-coated_retriever,dog
207,n02099601,golden_retriever,dog
208,n02099712,Labrador_retriever,dog
209,n02099849,Chesapeake_Bay_retriever,dog
210,n02100236,German_short-haired_pointer,dog
211,n02100583,vizsla,dog
212,n02100735,English_setter,dog
213,n02100877,Irish_setter,dog
214,n02101006,Gordon_setter,dog
215,n02101388,Brittany_spaniel,dog
216,n02101556,clumber,dog
217,n02102040,English_springer,dog
218,n02102177,Welsh_springer_spaniel,dog
219,n02102318,cocker_spaniel,dog
220,n02102480,Sussex_spaniel,dog
221,n02102973,Irish_water_spaniel,dog
222,n02104029,kuvasz,dog
223,n02104365,schipperke,dog
224,n02105056,groenendael,dog
225,n02105162,malinois,dog
226,n02105251,briard,dog
227,n02105412,kelpie,dog
228,n02105505,komondor,dog
229,n02105641,Old_English_sheepdog,dog
230,n02105855,Shetland_sheepdog,dog
231,n02106030,collie,dog
232,n02106166,Border_collie,dog
233,n02106382,Bouvier_des_Flandres,dog
234,n02106550,Rottweiler,dog
235,n02106662,German_shepherd,dog
236,n02107142,Doberman,dog
237,n02107312,miniature_pinscher,dog
238,n02107574,Greater_Swiss_Mountain_dog,dog
239,n02107683,Bernese_mountain_dog,dog
240,n02107908,Appenzeller,dog
241,n02108000,EntleBucher,dog
242,n02108089,boxer,dog
243,n02108422,bull_mastiff,dog
244,n02108551,Tibetan_mastiff,dog
245,n02108915,French_bulldog,dog
246,n02109047,Great_Dane,dog
247,n02109525,Saint_Bernard,dog
248,n02109961,Eskimo_dog,dog
249,n02110063,malamute,dog
250,n02110185,Siberian_husky,dog
251,n02110341,dalmatian,dog
252,n02110627,affenpinscher,dog
253,n02110806,basenji,dog
254,n02110958,pug,dog
255,n02111129,Leonberg,dog
256,n02111277,Newfoundland,dog
257,n02111500,Great_Pyrenees,dog
258,n02111889,Samoyed,dog
259,n02112018,Pomeranian,dog
260,n02112137,chow,dog
261,n02112350,keeshond,dog
262,n02112706,Brabancon_griffon,dog
263,n02113023,Pembroke,dog
264,n02113186,Cardigan,dog
265,n02113624,toy_poodle,dog
266,n02113712,miniature_poodle,dog
267,n02113799,standard_poodle,dog
268,n02113978,Mexican_hairless,dog
269,n02114367,timber_wolf,wild dog
270,n02114548,white_wolf,wild dog
271,n02114712,red_wolf,wild dog
272,n02114855,coyote,wild dog
273,n02115641,dingo,wild dog
274,n02115913,dhole,wild dog
275,n02116738,African_hunting_dog,dog
276,n02117135,hyena,wild dog
277,n02119022,red_fox,wild dog
278,n02119789,kit_fox,wild dog
279,n02120079,Arctic_fox,wild dog
280,n02120505,grey_fox,wild dog
281,n02123045,tabby,cat
282,n02123159,tiger_cat,wild cat
283,n02123394,Persian_cat,cat
284,n02123597,Siamese_cat,cat
285,n02124075,Egyptian_cat,cat
286,n02125311,cougar,wild cat
287,n02127052,lynx,wild cat
288,n02128385,leopard,wild cat
289,n02128757,snow_leopard,wild cat
290,n02128925,jaguar,wild cat
291,n02129165,lion,wild cat
292,n02129604,tiger,wild cat
293,n02130308,cheetah,wild cat
294,n02132136,brown_bear,bear
295,n02133161,American_black_bear,bear
296,n02134084,ice_bear,bear
297,n02134418,sloth_bear,sloth
298,n02137549,mongoose,mongoose
299,n02138441,meerkat,mongoose
300,n02165105,tiger_beetle,bug
301,n02165456,ladybug,bug
302,n02167151,ground_beetle,bug
303,n02168699,long-horned_beetle,bug
304,n02169497,leaf_beetle,bug
305,n02172182,dung_beetle,bug
306,n02174001,rhinoceros_beetle,bug
307,n02177972,weevil,bug
308,n02190166,fly,bug
309,n02206856,bee,bug
310,n02219486,ant,bug
311,n02226429,grasshopper,bug
312,n02229544,cricket,bug
313,n02231487,walking_stick,bug
314,n02233338,cockroach,bug
315,n02236044,mantis,bug
316,n02256656,cicada,bug
317,n02259212,leafhopper,bug
318,n02264363,lacewing,bug
319,n02268443,dragonfly,bug
320,n02268853,damselfly,bug
321,n02276258,admiral,butterfly
322,n02277742,ringlet,butterfly
323,n02279972,monarch,butterfly
324,n02280649,cabbage_butterfly,butterfly
325,n02281406,sulphur_butterfly,butterfly
326,n02281787,lycaenid,butterfly
327,n02317335,starfish,echinoderms
328,n02319095,sea_urchin,echinoderms
329,n02321529,sea_cucumber,echinoderms
330,n02325366,wood_rabbit,rabbit
331,n02326432,hare,rabbit
332,n02328150,Angora,rabbit
333,n02342885,hamster,rodent
334,n02346627,porcupine,rodent
335,n02356798,fox_squirrel,rodent
336,n02361337,marmot,rodent
337,n02363005,beaver,rodent
338,n02364673,guinea_pig,rodent
339,n02389026,sorrel,plant
340,n02391049,zebra,ungulate
341,n02395406,hog,hog
342,n02396427,wild_boar,hog
343,n02397096,warthog,hog
344,n02398521,hippopotamus,ungulate
345,n02403003,ox,ungulate
346,n02408429,water_buffalo,ungulate
347,n02410509,bison,ungulate
348,n02412080,ram,ungulate
349,n02415577,bighorn,ungulate
350,n02417914,ibex,ungulate
351,n02422106,hartebeest,ungulate
352,n02422699,impala,ungulate
353,n02423022,gazelle,ungulate
354,n02437312,Arabian_camel,ungulate
355,n02437616,llama,ungulate
356,n02441942,weasel,ferret
357,n02442845,mink,ferret
358,n02443114,polecat,ferret
359,n02443484,black-footed_ferret,ferret
360,n02444819,otter,ferret
361,n02445715,skunk,ferret
362,n02447366,badger,ferret
363,n02454379,armadillo,armadillo
364,n02457408,three-toed_sloth,sloth
365,n02480495,orangutan,primate
366,n02480855,gorilla,primate
367,n02481823,chimpanzee,primate
368,n02483362,gibbon,primate
369,n02483708,siamang,primate
370,n02484975,guenon,primate
371,n02486261,patas,primate
372,n02486410,baboon,primate
373,n02487347,macaque,primate
374,n02488291,langur,primate
375,n02488702,colobus,primate
376,n02489166,proboscis_monkey,primate
377,n02490219,marmoset,primate
378,n02492035,capuchin,primate
379,n02492660,howler_monkey,primate
380,n02493509,titi,primate
381,n02493793,spider_monkey,primate
382,n02494079,squirrel_monkey,primate
383,n02497673,Madagascar_cat,mongoose
384,n02500267,indri,primate
385,n02504013,Indian_elephant,ungulate
386,n02504458,African_elephant,ungulate
387,n02509815,lesser_panda,bear
388,n02510455,giant_panda,bear
389,n02514041,barracouta,fish
390,n02526121,eel,fish
391,n02536864,coho,shark
392,n02606052,rock_beauty,coral
393,n02607072,anemone_fish,fish
394,n02640242,sturgeon,fish
395,n02641379,gar,fish
396,n02643566,lionfish,fish
397,n02655020,puffer,fish
398,n02666196,abacus,technology
399,n02667093,abaya,clothing
400,n02669723,academic_gown,clothing
401,n02672831,accordion,instrument
402,n02676566,acoustic_guitar,instrument
403,n02687172,aircraft_carrier,boat
404,n02690373,airliner,aircraft
405,n02692877,airship,aircraft
406,n02699494,altar,furniture
407,n02701002,ambulance,vehicle
408,n02704792,amphibian,vehicle
409,n02708093,analog_clock,decor
410,n02727426,apiary,outdoor scene
411,n02730930,apron,clothing
412,n02747177,ashcan,furniture
413,n02749479,assault_rifle,weapon
414,n02769748,backpack,accessory
415,n02776631,bakery,building
416,n02777292,balance_beam,sports equipment
417,n02782093,balloon,toy
418,n02783161,ballpoint,tool
419,n02786058,Band_Aid,other
420,n02787622,banjo,instrument
421,n02788148,bannister,furniture
422,n02790996,barbell,sports equipment
423,n02791124,barber_chair,furniture
424,n02791270,barbershop,building
425,n02793495,barn,building
426,n02794156,barometer,technology
427,n02795169,barrel,container
428,n02797295,barrow,tool
429,n02799071,baseball,ball
430,n02802426,basketball,ball
431,n02804414,bassinet,furniture
432,n02804610,bassoon,instrument
433,n02807133,bathing_cap,hat
434,n02808304,bath_towel,decor
435,n02808440,bathtub,furniture
436,n02814533,beach_wagon,vehicle
437,n02814860,beacon,building
438,n02815834,beaker,lab equipment
439,n02817516,bearskin,hat
440,n02823428,beer_bottle,food
441,n02823750,beer_glass,food
442,n02825657,bell_cote,building
443,n02834397,bib,clothing
444,n02835271,bicycle-built-for-two,vehicle
445,n02837789,bikini,clothing
446,n02840245,binder,paper
447,n02841315,binoculars,tool
448,n02843684,birdhouse,outdoor scene
449,n02859443,boathouse,building
450,n02860847,bobsled,vehicle
451,n02865351,bolo_tie,accessory
452,n02869837,bonnet,hat
453,n02870880,bookcase,furniture
454,n02871525,bookshop,building
455,n02877765,bottlecap,other
456,n02879718,bow,weapon
457,n02883205,bow_tie,accessory
458,n02892201,brass,decor
459,n02892767,brassiere,clothing
460,n02894605,breakwater,outdoor scene
461,n02895154,breastplate,clothing
462,n02906734,broom,tool
463,n02909870,bucket,tool
464,n02910353,buckle,accessory
465,n02916936,bulletproof_vest,clothing
466,n02917067,bullet_train,train
467,n02927161,butcher_shop,building
468,n02930766,cab,vehicle
469,n02939185,caldron,cooking
470,n02948072,candle,tool
471,n02950826,cannon,weapon
472,n02951358,canoe,boat
473,n02951585,can_opener,tool
474,n02963159,cardigan,clothing
475,n02965783,car_mirror,technology
476,n02966193,carousel,building
477,n02966687,carpenter's_kit,tool
478,n02971356,carton,container
479,n02974003,car_wheel,technology
480,n02977058,cash_machine,technology
481,n02978881,cassette,technology
482,n02979186,cassette_player,electronics
483,n02980441,castle,building
484,n02981792,catamaran,boat
485,n02988304,CD_player,electronics
486,n02992211,cello,instrument
487,n02992529,cellular_telephone,electronics
488,n02999410,chain,tool
489,n03000134,chainlink_fence,fence
490,n03000247,chain_mail,clothing
491,n03000684,chain_saw,tool
492,n03014705,chest,container
493,n03016953,chiffonier,furniture
494,n03017168,chime,instrument
495,n03018349,china_cabinet,furniture
496,n03026506,Christmas_stocking,decor
497,n03028079,church,building
498,n03032252,cinema,building
499,n03041632,cleaver,cooking
500,n03042490,cliff_dwelling,building
501,n03045698,cloak,clothing
502,n03047690,clog,clothing
503,n03062245,cocktail_shaker,cooking
504,n03063599,coffee_mug,cooking
505,n03063689,coffeepot,cooking
506,n03065424,coil,technology
507,n03075370,combination_lock,technology
508,n03085013,computer_keyboard,electronics
509,n03089624,confectionery,building
510,n03095699,container_ship,boat
511,n03100240,convertible,vehicle
512,n03109150,corkscrew,cooking
513,n03110669,cornet,instrument
514,n03124043,cowboy_boot,clothing
515,n03124170,cowboy_hat,clothing
516,n03125729,cradle,furniture
517,n03126707,crane,vehicle
518,n03127747,crash_helmet,hat
519,n03127925,crate,container
520,n03131574,crib,furniture
521,n03133878,Crock_Pot,cooking
522,n03134739,croquet_ball,ball
523,n03141823,crutch,tool
524,n03146219,cuirass,clothing
525,n03160309,dam,outdoor scene
526,n03179701,desk,furniture
527,n03180011,desktop_computer,electronics
528,n03187595,dial_telephone,electronics
529,n03188531,diaper,clothing
530,n03196217,digital_clock,electronics
531,n03197337,digital_watch,electronics
532,n03201208,dining_table,furniture
533,n03207743,dishrag,decor
534,n03207941,dishwasher,electronics
535,n03208938,disk_brake,technology
536,n03216828,dock,outdoor scene
537,n03218198,dogsled,vehicle
538,n03220513,dome,building
539,n03223299,doormat,decor
540,n03240683,drilling_platform,outdoor scene
541,n03249569,drum,instrument
542,n03250847,drumstick,instrument
543,n03255030,dumbbell,tool
544,n03259280,Dutch_oven,cooking
545,n03271574,electric_fan,electronics
546,n03272010,electric_guitar,instrument
547,n03272562,electric_locomotive,train
548,n03290653,entertainment_center,furniture
549,n03291819,envelope,paper
550,n03297495,espresso_maker,cooking
551,n03314780,face_powder,other
552,n03325584,feather_boa,accessory
553,n03337140,file,furniture
554,n03344393,fireboat,boat
555,n03345487,fire_engine,vehicle
556,n03347037,fire_screen,furniture
557,n03355925,flagpole,outdoor scene
558,n03372029,flute,instrument
559,n03376595,folding_chair,furniture
560,n03379051,football_helmet,sports equipment
561,n03384352,forklift,vehicle
562,n03388043,fountain,outdoor scene
563,n03388183,fountain_pen,tool
564,n03388549,four-poster,furniture
565,n03393912,freight_car,train
566,n03394916,French_horn,instrument
567,n03400231,frying_pan,cooking
568,n03404251,fur_coat,clothing
569,n03417042,garbage_truck,vehicle
570,n03424325,gasmask,accessory
571,n03425413,gas_pump,technology
572,n03443371,goblet,cooking
573,n03444034,go-kart,vehicle
574,n03445777,golf_ball,ball
575,n03445924,golfcart,vehicle
576,n03447447,gondola,boat
577,n03447721,gong,instrument
578,n03450230,gown,clothing
579,n03452741,grand_piano,instrument
580,n03457902,greenhouse,building
581,n03459775,grille,vehicle
582,n03461385,grocery_store,building
583,n03467068,guillotine,weapon
584,n03476684,hair_slide,accessory
585,n03476991,hair_spray,other
586,n03478589,half_track,vehicle
587,n03481172,hammer,tool
588,n03482405,hamper,decor
589,n03483316,hand_blower,electronics
590,n03485407,hand-held_computer,electronics
591,n03485794,handkerchief,accessory
592,n03492542,hard_disc,electronics
593,n03494278,harmonica,instrument
594,n03495258,harp,instrument
595,n03496892,harvester,vehicle
596,n03498962,hatchet,tool
597,n03527444,holster,weapon
598,n03529860,home_theater,building
599,n03530642,honeycomb,other
600,n03532672,hook,tool
601,n03534580,hoopskirt,clothing
602,n03535780,horizontal_bar,sports equipment
603,n03538406,horse_cart,vehicle
604,n03544143,hourglass,technology
605,n03584254,iPod,electronics
606,n03584829,iron,tool
607,n03590841,jack-o'-lantern,fruit
608,n03594734,jean,clothing
609,n03594945,jeep,vehicle
610,n03595614,jersey,clothing
611,n03598930,jigsaw_puzzle,paper
612,n03599486,jinrikisha,vehicle
613,n03602883,joystick,electronics
614,n03617480,kimono,clothing
615,n03623198,knee_pad,clothing
616,n03627232,knot,other
617,n03630383,lab_coat,clothing
618,n03633091,ladle,cooking
619,n03637318,lampshade,decor
620,n03642806,laptop,electronics
621,n03649909,lawn_mower,vehicle
622,n03657121,lens_cap,technology
623,n03658185,letter_opener,tool
624,n03661043,library,building
625,n03662601,lifeboat,boat
626,n03666591,lighter,tool
627,n03670208,limousine,vehicle
628,n03673027,liner,boat
629,n03676483,lipstick,accessory
630,n03680355,Loafer,clothing
631,n03690938,lotion,other
632,n03691459,loudspeaker,electronics
633,n03692522,loupe,tool
634,n03697007,lumbermill,building
635,n03706229,magnetic_compass,tool
636,n03709823,mailbag,accessory
637,n03710193,mailbox,furniture
638,n03710637,maillot,clothing
639,n03710721,maillot,clothing
640,n03717622,manhole_cover,outdoor scene
641,n03720891,maraca,instrument
642,n03721384,marimba,instrument
643,n03724870,mask,clothing
644,n03729826,matchstick,tool
645,n03733131,maypole,outdoor scene
646,n03733281,maze,outdoor scene
647,n03733805,measuring_cup,cooking
648,n03742115,medicine_chest,container
649,n03743016,megalith,outdoor scene
650,n03759954,microphone,electronics
651,n03761084,microwave,electronics
652,n03763968,military_uniform,clothing
653,n03764736,milk_can,container
654,n03769881,minibus,vehicle
655,n03770439,miniskirt,clothing
656,n03770679,minivan,vehicle
657,n03773504,missile,weapon
658,n03775071,mitten,clothing
659,n03775546,mixing_bowl,cooking
660,n03776460,mobile_home,building
661,n03777568,Model_T,vehicle
662,n03777754,modem,electronics
663,n03781244,monastery,building
664,n03782006,monitor,electronics
665,n03785016,moped,vehicle
666,n03786901,mortar,cooking
667,n03787032,mortarboard,hat
668,n03788195,mosque,building
669,n03788365,mosquito_net,other
670,n03791053,motor_scooter,vehicle
671,n03792782,mountain_bike,vehicle
672,n03792972,mountain_tent,building
673,n03793489,mouse,rodent
674,n03794056,mousetrap,technology
675,n03796401,moving_van,vehicle
676,n03803284,muzzle,other
677,n03804744,nail,tool
678,n03814639,neck_brace,accessory
679,n03814906,necklace,accessory
680,n03825788,nipple,other
681,n03832673,notebook,paper
682,n03837869,obelisk,building
683,n03838899,oboe,instrument
684,n03840681,ocarina,instrument
685,n03841143,odometer,electronics
686,n03843555,oil_filter,technology
687,n03854065,organ,instrument
688,n03857828,oscilloscope,electronics
689,n03866082,overskirt,clothing
690,n03868242,oxcart,vehicle
691,n03868863,oxygen_mask,clothing
692,n03871628,packet,container
693,n03873416,paddle,sports equipment
694,n03874293,paddlewheel,boat
695,n03874599,padlock,technology
696,n03876231,paintbrush,tool
697,n03877472,pajama,clothing
698,n03877845,palace,building
699,n03884397,panpipe,instrument
700,n03887697,paper_towel,paper
701,n03888257,parachute,aircraft
702,n03888605,parallel_bars,sports equipment
703,n03891251,park_bench,furniture
704,n03891332,parking_meter,electronics
705,n03895866,passenger_car,vehicle
706,n03899768,patio,building
707,n03902125,pay-phone,electronics
708,n03903868,pedestal,furniture
709,n03908618,pencil_box,other
710,n03908714,pencil_sharpener,tool
711,n03916031,perfume,other
712,n03920288,Petri_dish,lab equipment
713,n03924679,photocopier,electronics
714,n03929660,pick,instrument
715,n03929855,pickelhaube,hat
716,n03930313,picket_fence,fence
717,n03930630,pickup,vehicle
718,n03933933,pier,outdoor scene
719,n03935335,piggy_bank,decor
720,n03937543,pill_bottle,container
721,n03938244,pillow,decor
722,n03942813,ping-pong_ball,ball
723,n03944341,pinwheel,toy
724,n03947888,pirate,person
725,n03950228,pitcher,cooking
726,n03954731,plane,tool
727,n03956157,planetarium,building
728,n03958227,plastic_bag,container
729,n03961711,plate_rack,decor
730,n03967562,plow,vehicle
731,n03970156,plunger,tool
732,n03976467,Polaroid_camera,electronics
733,n03976657,pole,sports equipment
734,n03977966,police_van,vehicle
735,n03980874,poncho,clothing
736,n03982430,pool_table,furniture
737,n03983396,pop_bottle,food
738,n03991062,pot,cooking
739,n03992509,potter's_wheel,tool
740,n03995372,power_drill,electronics
741,n03998194,prayer_rug,decor
742,n04004767,printer,electronics
743,n04005630,prison,building
744,n04008634,projectile,weapon
745,n04009552,projector,electronics
746,n04019541,puck,sports equipment
747,n04023962,punching_bag,sports equipment
748,n04026417,purse,accessory
749,n04033901,quill,tool
750,n04033995,quilt,decor
751,n04037443,racer,vehicle
752,n04039381,racket,sports equipment
753,n04040759,radiator,electronics
754,n04041544,radio,electronics
755,n04044716,radio_telescope,technology
756,n04049303,rain_barrel,container
757,n04065272,recreational_vehicle,vehicle
758,n04067472,reel,technology
759,n04069434,reflex_camera,electronics
760,n04070727,refrigerator,furniture
761,n04074963,remote_control,electronics
762,n04081281,restaurant,building
763,n04086273,revolver,weapon
764,n04090263,rifle,weapon
765,n04099969,rocking_chair,furniture
766,n04111531,rotisserie,cooking
767,n04116512,rubber_eraser,tool
768,n04118538,rugby_ball,ball
769,n04118776,rule,tool
770,n04120489,running_shoe,clothing
771,n04125021,safe,container
772,n04127249,safety_pin,tool
773,n04131690,saltshaker,food
774,n04133789,sandal,clothing
775,n04136333,sarong,clothing
776,n04141076,sax,instrument
777,n04141327,scabbard,weapon
778,n04141975,scale,electronics
779,n04146614,school_bus,vehicle
780,n04147183,schooner,boat
781,n04149813,scoreboard,sports equipment
782,n04152593,screen,decor
783,n04153751,screw,tool
784,n04154565,screwdriver,tool
785,n04162706,seat_belt,technology
786,n04179913,sewing_machine,technology
787,n04192698,shield,tool
788,n04200800,shoe_shop,building
789,n04201297,shoji,furniture
790,n04204238,shopping_basket,container
791,n04204347,shopping_cart,container
792,n04208210,shovel,tool
793,n04209133,shower_cap,hat
794,n04209239,shower_curtain,decor
795,n04228054,ski,sports equipment
796,n04229816,ski_mask,clothing
797,n04235860,sleeping_bag,accessory
798,n04238763,slide_rule,technology
799,n04239074,sliding_door,furniture
800,n04243546,slot,electronics
801,n04251144,snorkel,sports equipment
802,n04252077,snowmobile,vehicle
803,n04252225,snowplow,vehicle
804,n04254120,soap_dispenser,decor
805,n04254680,soccer_ball,ball
806,n04254777,sock,clothing
807,n04258138,solar_dish,technology
808,n04259630,sombrero,hat
809,n04263257,soup_bowl,cooking
810,n04264628,space_bar,electronics
811,n04265275,space_heater,electronics
812,n04266014,space_shuttle,aircraft
813,n04270147,spatula,cooking
814,n04273569,speedboat,boat
815,n04275548,spider_web,outdoor scene
816,n04277352,spindle,technology
817,n04285008,sports_car,vehicle
818,n04286575,spotlight,electronics
819,n04296562,stage,furniture
820,n04310018,steam_locomotive,train
821,n04311004,steel_arch_bridge,outdoor scene
822,n04311174,steel_drum,instrument
823,n04317175,stethoscope,tool
824,n04325704,stole,accessory
825,n04326547,stone_wall,outdoor scene
826,n04328186,stopwatch,electronics
827,n04330267,stove,furniture
828,n04332243,strainer,cooking
829,n04335435,streetcar,vehicle
830,n04336792,stretcher,furniture
831,n04344873,studio_couch,furniture
832,n04346328,stupa,building
833,n04347754,submarine,boat
834,n04350905,suit,clothing
835,n04355338,sundial,outdoor scene
836,n04355933,sunglass,tool
837,n04356056,sunglasses,clothing
838,n04357314,sunscreen,other
839,n04366367,suspension_bridge,outdoor scene
840,n04367480,swab,tool
841,n04370456,sweatshirt,clothing
842,n04371430,swimming_trunks,clothing
843,n04371774,swing,toy
844,n04372370,switch,electronics
845,n04376876,syringe,tool
846,n04380533,table_lamp,decor
847,n04389033,tank,vehicle
848,n04392985,tape_player,electronics
849,n04398044,teapot,cooking
850,n04399382,teddy,toy
851,n04404412,television,electronics
852,n04409515,tennis_ball,ball
853,n04417672,thatch,building
854,n04418357,theater_curtain,decor
855,n04423845,thimble,tool
856,n04428191,thresher,vehicle
857,n04429376,throne,furniture
