Column1,subj,cat,seed,left_alpha,right_alpha,delta_alpha,correct_key,user_key,eval,time
56,mr_artificial,23,8,0,-0.01,-0.01,left,right,0,0.413
57,mr_artificial,10,3,0,0.01,0.01,right,left,0,0.164
58,mr_artificial,20,2,-0.03,0,-0.03,right,right,1,0.133
59,mr_artificial,29,1,-0.01,0,-0.01,right,left,1,0.085
60,mr_artificial,26,8,-0.03,0,-0.03,right,right,1,0.129
61,mr_artificial,12,7,-0.02,0,-0.02,right,left,1,0.069
62,mr_artificial,22,7,-0.02,0,-0.02,right,right,1,0.11
63,mr_artificial,20,7,0,-0.03,-0.03,left,left,1,0.097
64,mr_artificial,9,0,-0.03,0,-0.03,right,right,1,0.122
65,mr_artificial,8,3,0,-0.02,-0.02,left,left,1,0.081
66,mr_artificial,10,3,0,0.01,0.01,right,right,1,0.153
67,mr_artificial,6,6,-0.03,0,-0.03,right,left,1,0.078
68,mr_artificial,23,7,0.03,0,0.03,left,right,1,0.156
69,mr_artificial,11,4,0,0.03,0.03,right,left,1,0.113
70,mr_artificial,9,0,0,-0.02,-0.02,left,right,1,0.149
71,mr_artificial,20,6,-0.03,0,-0.03,right,left,1,0.077
72,mr_artificial,26,8,0,0.01,0.01,right,right,0,0.145
73,mr_artificial,27,7,-0.01,0,-0.01,right,left,0,0.116
74,mr_artificial,21,3,0,-0.01,-0.01,left,right,1,0.146
75,mr_artificial,4,1,0,-0.03,-0.03,left,left,1,0.093
76,mr_artificial,2,3,0,-0.01,-0.01,left,right,0,0.149
77,mr_artificial,24,8,0.02,0,0.02,left,left,1,0.069
78,mr_artificial,25,3,-0.02,0,-0.02,right,right,1,0.169
79,mr_artificial,0,0,0,-0.02,-0.02,left,left,1,0.089
80,mr_artificial,25,3,-0.01,0,-0.01,right,right,1,0.156
81,mr_artificial,1,7,0,0.02,0.02,right,left,1,0.165
82,mr_artificial,12,6,0,0.02,0.02,right,right,1,0.179
83,mr_artificial,13,1,0.01,0,0.01,left,left,1,0.083
84,mr_artificial,13,2,0,-0.03,-0.03,left,right,1,0.146
85,mr_artificial,27,8,0.03,0,0.03,left,left,1,0.101
86,mr_artificial,4,2,0,-0.01,-0.01,left,right,0,0.157
87,mr_artificial,2,1,0.03,0,0.03,left,left,1,0.114
88,mr_artificial,30,7,0,-0.03,-0.03,left,right,1,0.13
89,mr_artificial,25,1,0,-0.01,-0.01,left,left,1,0.085
90,mr_artificial,3,5,0.03,0,0.03,left,right,1,0.141
91,mr_artificial,19,4,0,-0.01,-0.01,left,left,0,0.106
92,mr_artificial,27,3,0,-0.02,-0.02,left,right,0,0.169
93,mr_artificial,6,1,0,-0.01,-0.01,left,left,1,0.082
94,mr_artificial,8,7,0,-0.01,-0.01,left,right,0,0.14
95,mr_artificial,3,3,-0.01,0,-0.01,right,left,1,0.077
96,mr_artificial,8,2,0.01,0,0.01,left,right,0,0.138
97,mr_artificial,5,6,-0.02,0,-0.02,right,left,0,0.074
98,mr_artificial,29,4,-0.03,0,-0.03,right,right,1,0.138
99,mr_artificial,15,2,0,0.02,0.02,right,left,1,0.09
100,mr_artificial,29,5,-0.03,0,-0.03,right,right,1,0.133
101,mr_artificial,22,8,-0.03,0,-0.03,right,left,1,0.121
102,mr_artificial,1,3,0,-0.02,-0.02,left,right,0,0.157
103,mr_artificial,9,1,0.01,0,0.01,left,left,1,0.129
104,mr_artificial,2,6,0.03,0,0.03,left,right,1,0.117
105,mr_artificial,20,3,0.01,0,0.01,left,left,0,0.154
106,mr_artificial,6,8,0,0.03,0.03,right,right,1,0.101
107,mr_artificial,17,6,0.02,0,0.02,left,left,1,0.154
108,mr_artificial,30,3,0,-0.01,-0.01,left,right,0,0.079
109,mr_artificial,22,6,-0.02,0,-0.02,right,left,0,0.133
110,mr_artificial,25,2,-0.01,0,-0.01,right,right,1,0.108
111,mr_artificial,21,7,0,0.02,0.02,right,left,1,0.102
112,mr_artificial,25,5,-0.01,0,-0.01,right,right,0,0.149
113,mr_artificial,19,3,0.03,0,0.03,left,left,1,0.098
114,mr_artificial,0,8,0,0.01,0.01,right,right,1,0.154
115,mr_artificial,26,8,-0.02,0,-0.02,right,left,0,0.109
116,mr_artificial,20,7,0,-0.01,-0.01,left,right,1,0.141
117,mr_artificial,19,5,-0.03,0,-0.03,right,left,1,0.105
118,mr_artificial,6,1,0,0.02,0.02,right,right,1,0.157
119,mr_artificial,21,1,0,-0.01,-0.01,left,left,0,0.085
120,mr_artificial,2,1,0.02,0,0.02,left,right,1,0.157
121,mr_artificial,24,6,0.01,0,0.01,left,left,0,0.073
122,mr_artificial,16,8,-0.03,0,-0.03,right,right,1,0.162
123,mr_artificial,19,4,0.03,0,0.03,left,left,1,0.077
124,mr_artificial,22,1,0.01,0,0.01,left,right,1,0.169
125,mr_artificial,29,2,0,-0.03,-0.03,left,left,1,0.117
126,mr_artificial,21,5,0.02,0,0.02,left,right,1,0.154
127,mr_artificial,6,1,0,0.03,0.03,right,left,1,0.085
128,mr_artificial,20,1,0,0.02,0.02,right,right,1,0.141
129,mr_artificial,26,0,-0.03,0,-0.03,right,left,1,0.084
130,mr_artificial,1,6,-0.01,0,-0.01,right,right,1,0.329
131,mr_artificial,16,4,0,0.02,0.02,right,left,1,0.72
132,mr_artificial,22,8,0,0.02,0.02,right,right,1,0.125
133,mr_artificial,24,8,0,-0.01,-0.01,left,left,0,0.125
134,mr_artificial,2,3,0,0.02,0.02,right,right,1,0.165
135,mr_artificial,3,2,-0.03,0,-0.03,right,left,1,0.093
136,mr_artificial,27,4,0,-0.02,-0.02,left,left,0,0.317
137,mr_artificial,27,2,-0.01,0,-0.01,right,right,1,0.156
138,mr_artificial,9,5,0,0.02,0.02,right,left,1,0.133
139,mr_artificial,15,8,0,0.02,0.02,right,right,1,0.164
140,mr_artificial,28,5,0.02,0,0.02,left,left,1,0.088
141,mr_artificial,15,6,-0.02,0,-0.02,right,right,0,0.268
142,mr_artificial,18,6,0,0.02,0.02,right,left,1,0.172
143,mr_artificial,12,0,0.02,0,0.02,left,right,1,0.14
